,names
1129,sand_rat.n.02
1130,chihuahua.n.03
1131,old_world_porcupine.n.01
1132,common_wallaby.n.01
1133,okapi.n.01
1134,cheetah.n.01
1135,leveret.n.01
1136,angora.n.04
1137,harpy.n.03
1138,snow_leopard.n.01
1139,alley_cat.n.01
1140,tree_shrew.n.01
1141,boar.n.02
1142,livestock.n.01
1143,lionet.n.01
1144,newfoundland.n.01
1145,bucking_bronco.n.01
1146,round-tailed_muskrat.n.01
1147,uakari.n.01
1148,guinea_pig.n.02
1149,striped_hyena.n.01
1150,wharf_rat.n.02
1151,lapin.n.02
1152,ungulata.n.01
1153,groundhog.n.01
1154,long-tailed_porcupine.n.01
1155,domestic_llama.n.01
1156,polar_hare.n.01
1157,crab-eating_opossum.n.01
1158,digitigrade_mammal.n.01
1159,pentail.n.01
1160,paca.n.01
1161,suricate.n.01
1162,sir_barton.n.01
1163,cayuse.n.01
1164,broodmare.n.01
1165,new_world_beaver.n.01
1166,damaraland_mole_rat.n.01
1167,american_marten.n.01
1168,brush-tailed_porcupine.n.01
1169,sea_otter.n.01
1170,dark_horse.n.02
1171,chestnut.n.06
1172,jaguar.n.01
1173,pouched_mouse.n.01
1174,orangutan.n.01
1175,tamarisk_gerbil.n.01
1176,sloth_bear.n.01
1177,doe.n.02
1178,rogue_elephant.n.01
1179,cactus_mouse.n.01
