,num_children
broodmare.n.01,
new_world_beaver.n.01,
damaraland_mole_rat.n.01,
american_marten.n.01,
brush-tailed_porcupine.n.01,
sea_otter.n.01,
dark_horse.n.02,
chestnut.n.06,
jaguar.n.01,
pouched_mouse.n.01,
orangutan.n.01,
tamarisk_gerbil.n.01,
sloth_bear.n.01,
doe.n.02,
rogue_elephant.n.01,
cactus_mouse.n.01,
