,paul15_clusters
1873,4Ery
1874,2Ery
1875,7MEP
1876,7MEP
1877,6Ery
1878,3Ery
1879,16Neu
1880,7MEP
1881,14Mo
1882,3Ery
1883,6Ery
1884,9GMP
1885,12Baso
1886,3Ery
1887,14Mo
1888,10GMP
1889,4Ery
1890,7MEP
1891,6Ery
1892,14Mo
1893,14Mo
1894,4Ery
1895,3Ery
1896,3Ery
1897,2Ery
1898,16Neu
1899,3Ery
1900,7MEP
1901,18Eos
1902,6Ery
1903,13Baso
1904,4Ery
1905,10GMP
1906,6Ery
1907,2Ery
1908,12Baso
1909,1Ery
1910,4Ery
1911,13Baso
1912,14Mo
1913,14Mo
1914,13Baso
1915,3Ery
1916,3Ery
1917,16Neu
1918,15Mo
1919,14Mo
1920,3Ery
1921,6Ery
1922,2Ery
1923,10GMP
1924,14Mo
1925,5Ery
1926,4Ery
1927,15Mo
1928,13Baso
1929,15Mo
1930,13Baso
1931,14Mo
1932,12Baso
1933,16Neu
1934,13Baso
1935,6Ery
1936,15Mo
1937,4Ery
1938,14Mo
1939,13Baso
1940,15Mo
1941,3Ery
1942,10GMP
1943,13Baso
1944,4Ery
1945,8Mk
1946,3Ery
1947,14Mo
1948,15Mo
1949,16Neu
1950,15Mo
1951,9GMP
1952,16Neu
1953,12Baso
1954,10GMP
1955,14Mo
1956,14Mo
1957,14Mo
1958,7MEP
1959,15Mo
1960,17Neu
1961,2Ery
1962,14Mo
1963,14Mo
1964,4Ery
1965,6Ery
1966,15Mo
1967,2Ery
1968,2Ery
1969,5Ery
1970,2Ery
1971,2Ery
1972,14Mo
1973,2Ery
1974,14Mo
1975,15Mo
1976,5Ery
1977,6Ery
1978,13Baso
1979,6Ery
1980,13Baso
1981,5Ery
1982,15Mo
1983,3Ery
1984,10GMP
1985,2Ery
1986,14Mo
1987,2Ery
1988,14Mo
1989,2Ery
1990,2Ery
1991,2Ery
1992,5Ery
1993,14Mo
1994,1Ery
1995,5Ery
1996,4Ery
1997,2Ery
1998,10GMP
1999,2Ery
2000,2Ery
2001,7MEP
2002,2Ery
2003,7MEP
2004,1Ery
2005,7MEP
2006,9GMP
2007,2Ery
2008,17Neu
2009,14Mo
2010,14Mo
2011,13Baso
2012,7MEP
2013,16Neu
2014,2Ery
2015,2Ery
2016,7MEP
2017,6Ery
2018,14Mo
2019,4Ery
2020,6Ery
2021,2Ery
2022,4Ery
2023,1Ery
2024,5Ery
2025,19Lymph
2026,8Mk
2027,4Ery
2028,6Ery
2029,13Baso
2030,6Ery
2031,13Baso
2032,7MEP
2033,3Ery
2034,3Ery
2035,13Baso
2036,3Ery
2037,15Mo
2038,14Mo
2039,6Ery
2040,10GMP
2041,16Neu
2042,4Ery
2043,14Mo
2044,14Mo
2045,10GMP
2046,3Ery
2047,10GMP
2048,14Mo
2049,3Ery
2050,4Ery
2051,19Lymph
2052,14Mo
2053,3Ery
2054,15Mo
2055,15Mo
2056,10GMP
2057,15Mo
2058,15Mo
2059,14Mo
2060,13Baso
2061,16Neu
2062,14Mo
2063,4Ery
2064,14Mo
2065,9GMP
2066,3Ery
2067,14Mo
2068,3Ery
2069,10GMP
2070,16Neu
2071,16Neu
2072,13Baso
2073,1Ery
2074,6Ery
2075,2Ery
2076,14Mo
2077,2Ery
2078,14Mo
2079,5Ery
2080,2Ery
2081,9GMP
2082,13Baso
2083,2Ery
2084,3Ery
2085,16Neu
2086,13Baso
2087,14Mo
2088,4Ery
2089,3Ery
2090,6Ery
2091,7MEP
2092,10GMP
2093,4Ery
2094,2Ery
2095,16Neu
2096,12Baso
2097,19Lymph
2098,7MEP
2099,13Baso
2100,4Ery
2101,7MEP
2102,4Ery
2103,12Baso
2104,5Ery
2105,2Ery
2106,2Ery
2107,9GMP
2108,1Ery
2109,11DC
2110,3Ery
2111,14Mo
2112,16Neu
2113,2Ery
2114,5Ery
2115,14Mo
2116,15Mo
2117,9GMP
2118,9GMP
2119,14Mo
2120,2Ery
2121,4Ery
2122,5Ery
2123,4Ery
2124,3Ery
2125,16Neu
2126,2Ery
2127,16Neu
2128,2Ery
2129,13Baso
2130,2Ery
2131,6Ery
2132,6Ery
2133,14Mo
2134,2Ery
2135,2Ery
2136,8Mk
2137,8Mk
2138,14Mo
2139,14Mo
2140,1Ery
2141,4Ery
2142,7MEP
2143,16Neu
2144,16Neu
2145,14Mo
2146,3Ery
2147,2Ery
2148,16Neu
2149,17Neu
2150,6Ery
2151,2Ery
2152,14Mo
2153,16Neu
2154,7MEP
2155,2Ery
2156,3Ery
2157,2Ery
2158,6Ery
2159,6Ery
2160,6Ery
2161,10GMP
2162,12Baso
2163,12Baso
2164,4Ery
2165,2Ery
2166,4Ery
2167,2Ery
2168,14Mo
2169,3Ery
2170,6Ery
2171,3Ery
2172,10GMP
2173,2Ery
2174,14Mo
2175,16Neu
2176,18Eos
2177,13Baso
2178,6Ery
2179,14Mo
2180,13Baso
2181,2Ery
2182,2Ery
2183,5Ery
2184,10GMP
2185,5Ery
2186,14Mo
2187,13Baso
2188,14Mo
2189,16Neu
2190,2Ery
2191,10GMP
2192,4Ery
2193,16Neu
2194,6Ery
2195,15Mo
2196,14Mo
2197,12Baso
2198,7MEP
2199,10GMP
2200,15Mo
2201,3Ery
2202,15Mo
2203,3Ery
2204,9GMP
2205,2Ery
2206,7MEP
2207,3Ery
2208,13Baso
2209,16Neu
2210,13Baso
2211,2Ery
2212,15Mo
2213,7MEP
2214,6Ery
2215,5Ery
2216,13Baso
2217,10GMP
2218,9GMP
2219,13Baso
2220,13Baso
2221,12Baso
2222,5Ery
2223,13Baso
2224,15Mo
2225,14Mo
2226,10GMP
2227,15Mo
2228,4Ery
2229,5Ery
2230,8Mk
2231,13Baso
2232,7MEP
2233,14Mo
2234,14Mo
2235,2Ery
2236,6Ery
2237,2Ery
2238,13Baso
2239,7MEP
2240,16Neu
2241,14Mo
2242,3Ery
2243,16Neu
2244,19Lymph
2245,10GMP
2246,12Baso
2247,10GMP
2248,13Baso
2249,1Ery
2250,16Neu
2251,6Ery
2252,14Mo
2253,2Ery
2254,14Mo
2255,10GMP
2256,14Mo
2257,16Neu
2258,9GMP
2259,3Ery
2260,3Ery
2261,14Mo
2262,2Ery
2263,12Baso
2264,9GMP
2265,1Ery
2266,3Ery
2267,5Ery
2268,2Ery
2269,8Mk
2270,2Ery
2271,16Neu
2272,5Ery
2273,10GMP
2274,13Baso
2275,16Neu
2276,14Mo
2277,2Ery
2278,5Ery
2279,15Mo
2280,7MEP
2281,15Mo
2282,5Ery
2283,6Ery
2284,5Ery
2285,2Ery
2286,3Ery
2287,15Mo
2288,7MEP
2289,3Ery
2290,15Mo
2291,16Neu
2292,6Ery
2293,7MEP
2294,6Ery
2295,6Ery
2296,10GMP
2297,4Ery
2298,13Baso
2299,14Mo
2300,13Baso
2301,3Ery
2302,6Ery
2303,8Mk
2304,14Mo
2305,2Ery
2306,9GMP
2307,6Ery
2308,15Mo
2309,13Baso
2310,3Ery
2311,16Neu
2312,2Ery
2313,9GMP
2314,14Mo
2315,3Ery
2316,14Mo
2317,14Mo
2318,16Neu
2319,14Mo
2320,9GMP
2321,3Ery
2322,13Baso
2323,10GMP
2324,14Mo
2325,3Ery
2326,6Ery
2327,14Mo
2328,4Ery
2329,3Ery
2330,2Ery
2331,2Ery
2332,14Mo
2333,2Ery
2334,8Mk
2335,10GMP
2336,10GMP
2337,14Mo
2338,10GMP
2339,16Neu
2340,10GMP
2341,10GMP
2342,13Baso
2343,16Neu
2344,2Ery
2345,16Neu
2346,2Ery
2347,14Mo
2348,11DC
2349,14Mo
2350,11DC
2351,14Mo
2352,13Baso
2353,2Ery
2354,2Ery
2355,16Neu
2356,2Ery
2357,2Ery
2358,14Mo
2359,5Ery
2360,2Ery
2361,7MEP
2362,9GMP
2363,2Ery
2364,10GMP
2365,7MEP
2366,6Ery
2367,15Mo
2368,5Ery
2369,5Ery
2370,15Mo
2371,14Mo
2372,8Mk
2373,14Mo
2374,15Mo
2375,4Ery
2376,14Mo
2377,13Baso
2378,6Ery
2379,4Ery
2380,13Baso
2381,4Ery
2382,9GMP
2383,3Ery
2384,8Mk
2385,8Mk
2386,15Mo
2387,2Ery
2388,12Baso
2389,3Ery
2390,15Mo
2391,15Mo
2392,9GMP
2393,3Ery
2394,10GMP
2395,15Mo
2396,16Neu
2397,4Ery
2398,3Ery
2399,14Mo
2400,3Ery
2401,16Neu
2402,6Ery
2403,5Ery
2404,13Baso
2405,13Baso
2406,11DC
2407,13Baso
2408,8Mk
2409,2Ery
2410,13Baso
2411,13Baso
2412,8Mk
2413,8Mk
2414,15Mo
2415,14Mo
2416,14Mo
2417,19Lymph
2418,6Ery
2419,5Ery
2420,15Mo
2421,7MEP
2422,15Mo
2423,15Mo
2424,6Ery
2425,12Baso
2426,2Ery
2427,13Baso
2428,3Ery
2429,4Ery
2430,14Mo
2431,10GMP
2432,16Neu
2433,15Mo
2434,6Ery
2435,13Baso
2436,19Lymph
2437,15Mo
2438,6Ery
2439,2Ery
2440,15Mo
2441,3Ery
2442,13Baso
2443,6Ery
2444,13Baso
2445,9GMP
2446,10GMP
2447,10GMP
2448,14Mo
2449,2Ery
2450,6Ery
2451,10GMP
2452,7MEP
2453,6Ery
2454,14Mo
2455,2Ery
2456,2Ery
2457,7MEP
2458,5Ery
2459,13Baso
2460,13Baso
2461,14Mo
2462,3Ery
2463,13Baso
2464,4Ery
2465,3Ery
2466,2Ery
2467,15Mo
2468,7MEP
2469,1Ery
2470,15Mo
2471,2Ery
2472,13Baso
2473,8Mk
2474,9GMP
2475,19Lymph
2476,11DC
2477,8Mk
2478,17Neu
2479,13Baso
2480,13Baso
2481,13Baso
2482,3Ery
2483,12Baso
2484,16Neu
2485,10GMP
2486,15Mo
2487,7MEP
2488,13Baso
2489,13Baso
2490,14Mo
2491,16Neu
2492,3Ery
2493,7MEP
2494,13Baso
2495,13Baso
2496,3Ery
2497,1Ery
2498,14Mo
2499,15Mo
2500,10GMP
2501,15Mo
2502,4Ery
2503,9GMP
2504,14Mo
2505,9GMP
2506,13Baso
2507,10GMP
2508,9GMP
2509,5Ery
2510,2Ery
2511,7MEP
2512,13Baso
2513,6Ery
2514,7MEP
2515,10GMP
2516,7MEP
2517,10GMP
2518,3Ery
2519,5Ery
2520,10GMP
2521,6Ery
2522,19Lymph
2523,8Mk
2524,4Ery
2525,14Mo
2526,16Neu
2527,14Mo
2528,10GMP
2529,10GMP
2530,13Baso
2531,7MEP
2532,15Mo
2533,10GMP
2534,15Mo
2535,15Mo
2536,14Mo
2537,5Ery
2538,13Baso
2539,9GMP
2540,7MEP
2541,14Mo
2542,6Ery
2543,2Ery
2544,8Mk
2545,7MEP
2546,5Ery
2547,7MEP
2548,13Baso
2549,7MEP
2550,5Ery
2551,8Mk
2552,2Ery
2553,2Ery
2554,4Ery
2555,14Mo
2556,15Mo
2557,13Baso
2558,3Ery
2559,2Ery
2560,5Ery
2561,13Baso
2562,3Ery
2563,6Ery
2564,8Mk
2565,6Ery
2566,15Mo
2567,2Ery
2568,5Ery
2569,6Ery
2570,9GMP
2571,8Mk
2572,15Mo
2573,13Baso
2574,10GMP
2575,15Mo
2576,15Mo
2577,2Ery
2578,13Baso
2579,14Mo
2580,9GMP
2581,2Ery
2582,3Ery
2583,17Neu
2584,16Neu
2585,13Baso
2586,6Ery
2587,13Baso
2588,10GMP
2589,13Baso
2590,13Baso
2591,2Ery
2592,6Ery
2593,15Mo
2594,14Mo
2595,14Mo
2596,13Baso
2597,14Mo
2598,6Ery
2599,13Baso
2600,17Neu
2601,2Ery
2602,6Ery
2603,7MEP
2604,10GMP
2605,10GMP
2606,6Ery
2607,15Mo
2608,15Mo
2609,6Ery
2610,4Ery
2611,8Mk
2612,6Ery
2613,13Baso
2614,13Baso
2615,5Ery
2616,10GMP
2617,10GMP
2618,10GMP
2619,2Ery
2620,11DC
2621,16Neu
2622,14Mo
2623,5Ery
2624,10GMP
2625,6Ery
2626,2Ery
2627,10GMP
2628,15Mo
2629,16Neu
2630,6Ery
2631,19Lymph
2632,10GMP
2633,15Mo
2634,13Baso
2635,5Ery
2636,7MEP
2637,4Ery
2638,7MEP
2639,3Ery
2640,19Lymph
2641,13Baso
2642,13Baso
2643,13Baso
2644,3Ery
2645,1Ery
2646,15Mo
2647,8Mk
2648,7MEP
2649,7MEP
2650,13Baso
2651,13Baso
2652,5Ery
2653,6Ery
2654,15Mo
2655,13Baso
2656,14Mo
2657,10GMP
2658,13Baso
2659,7MEP
2660,15Mo
2661,8Mk
2662,9GMP
2663,4Ery
2664,17Neu
2665,2Ery
2666,14Mo
2667,15Mo
2668,14Mo
2669,6Ery
2670,6Ery
2671,10GMP
2672,6Ery
2673,13Baso
2674,6Ery
2675,12Baso
2676,3Ery
2677,13Baso
2678,13Baso
2679,16Neu
2680,10GMP
2681,16Neu
2682,13Baso
2683,5Ery
2684,2Ery
2685,9GMP
2686,16Neu
2687,8Mk
2688,11DC
2689,13Baso
2690,10GMP
2691,5Ery
2692,15Mo
2693,13Baso
2694,9GMP
2695,14Mo
2696,13Baso
2697,14Mo
2698,15Mo
2699,15Mo
2700,10GMP
2701,15Mo
2702,16Neu
2703,6Ery
2704,2Ery
2705,13Baso
2706,5Ery
2707,7MEP
2708,19Lymph
2709,6Ery
2710,13Baso
2711,2Ery
2712,11DC
2713,7MEP
2714,13Baso
2715,2Ery
2716,14Mo
2717,13Baso
2718,8Mk
2719,13Baso
2720,7MEP
2721,10GMP
2722,10GMP
2723,14Mo
2724,16Neu
2725,2Ery
2726,13Baso
2727,7MEP
2728,15Mo
2729,3Ery
